"observed_on","url","latitude","longitude","scientific_name","Year","Month"
2022-06-29,"https://www.inaturalist.org/observations/123966342",45.041049288,-72.8210265934,"New_observation_inat","2022","June"
2022-07-06,"https://www.inaturalist.org/observations/125099330",46.774683623,-71.3213210791,"New_observation_inat","2022","July"
2022-07-08,"https://www.inaturalist.org/observations/135957688",45.5018566487,-73.5672560334,"New_observation_inat","2022","July"
2022-07-13,"https://www.inaturalist.org/observations/126102910",45.3740980294,-73.8608031296,"New_observation_inat","2022","July"
2022-07-16,"https://www.inaturalist.org/observations/126584763",45.5231383333,-73.567475,"New_observation_inat","2022","July"
2022-07-19,"https://www.inaturalist.org/observations/127108644",46.9089941565,-71.2263063818,"New_observation_inat","2022","July"
2022-07-22,"https://www.inaturalist.org/observations/127407120",45.52465,-75.744605,"New_observation_inat","2022","July"
2022-07-24,"https://www.inaturalist.org/observations/127838604",45.6036279,-73.7983069,"New_observation_inat","2022","July"
2022-07-28,"https://www.inaturalist.org/observations/128410683",45.562108544,-73.5607829361,"New_observation_inat","2022","July"
2022-07-29,"https://www.inaturalist.org/observations/128527712",46.19589129,-70.83522313,"New_observation_inat","2022","July"
2022-07-29,"https://www.inaturalist.org/observations/128541213",45.4561194444,-73.5544055556,"New_observation_inat","2022","July"
2022-07-30,"https://www.inaturalist.org/observations/128643907",45.4201783333,-73.9687283333,"New_observation_inat","2022","July"
2022-07-30,"https://www.inaturalist.org/observations/128698548",45.4157138151,-73.9137820155,"New_observation_inat","2022","July"
2022-07-30,"https://www.inaturalist.org/observations/128816760",45.0744775828,-74.1858559895,"New_observation_inat","2022","July"
2022-07-30,"https://www.inaturalist.org/observations/128889625",45.4772336633,-75.6551619209,"New_observation_inat","2022","July"
2022-07-30,"https://www.inaturalist.org/observations/129443880",48.359269977,-68.7975433508,"New_observation_inat","2022","July"
2022-07-31,"https://www.inaturalist.org/observations/128782498",45.3568883333,-72.2603616667,"New_observation_inat","2022","July"
2022-07-31,"https://www.inaturalist.org/observations/128864283",45.5612585796,-73.5337907821,"New_observation_inat","2022","July"
2022-08-01,"https://www.inaturalist.org/observations/128980447",45.4140853143,-73.9250515123,"New_observation_inat","2022","August"
2022-08-03,"https://www.inaturalist.org/observations/129274004",45.4712228641,-73.9321081641,"New_observation_inat","2022","August"
2022-08-08,"https://www.inaturalist.org/observations/130022332",45.4803178663,-72.5328820476,"New_observation_inat","2022","August"
2022-08-11,"https://www.inaturalist.org/observations/130415158",46.7545137603,-71.2561839513,"New_observation_inat","2022","August"
